slat,slon,dlat,dlon
-73.98493958,40.75185776,-73.9835434,40.74433517
-74.00100708,40.73178101,-73.9871521,40.77100372
-73.97285461,40.76440048,-73.97180939,40.75788879
-73.99707794,40.72063828,-73.99963379,40.74583817
-73.97254944,40.79401779,-73.95405579,40.7663002
-73.98477173,40.71057129,-73.9894104,40.73014832
-73.98478699,40.74301529,-73.99360657,40.73528671
-73.99182129,40.75007629,-73.97105408,40.75669861
-73.98498535,40.74858093,-73.98127747,40.76911545
-73.9936676,40.74187851,-73.98458862,40.75429916
-73.96956635,40.76916504,-73.98652649,40.73033524
-73.98995972,40.74108124,-73.97696686,40.74745178
-73.98913574,40.7750206,-73.98181915,40.76605988
-73.96788025,40.7598114,-73.9538269,40.77888107
-74.00670624,40.70555496,-73.99169159,40.74972153
-73.99626923,40.74985123,-73.99476624,40.73648071
-73.98731995,40.75064087,-73.98928833,40.76940536
-73.97543335,40.75213242,-73.99078369,40.75094223
-74.00020599,40.73784637,-74.00031281,40.72286606
-73.95545959,40.76730728,-73.98899841,40.69316864
-73.96486664,40.75579071,-73.97580719,40.75735474
-73.99916077,40.74436951,-73.9887085,40.75870132
-73.97761536,40.76357269,-73.97257233,40.76595688
-73.95311737,40.77180099,-73.94792175,40.78314972
-74.0016098,40.74081039,-73.99622345,40.72590256
-73.96218109,40.81072617,-73.9948349,40.75281143
-73.98696899,40.74285126,-73.99428558,40.76135635
-73.97155762,40.75062943,-73.95262909,40.63159561
-73.95687866,40.77487183,-73.93650818,40.85718536
-73.94435883,40.71448898,-73.91053009,40.70949173
-73.97279358,40.75559616,-73.87312317,40.77445602
-74.00554657,40.70926285,-73.97014618,40.76274109
-73.98464966,40.74597931,-73.97737885,40.75965118
-73.96196747,40.77008057,-73.96077728,40.77505112
-73.96942139,40.80003357,-73.9681778,40.79170227
-73.98262787,40.76211166,-73.99337006,40.74748993
-73.99577332,40.74256897,-74.00809479,40.72277069
-74.00007629,40.74829865,-73.98988342,40.73796463
-73.9991684,40.73423386,-73.98209381,40.74027634
-74.01425171,40.71391296,-74.00462341,40.7053833
-73.99089813,40.75066376,-73.99321747,40.73419952
-73.97510529,40.75569153,-73.9855957,40.74747467
-73.96743774,40.75934982,-74.01268768,40.70161057
-73.97599792,40.75113678,-74.00185394,40.73522949
-73.9789505,40.75093079,-73.96439362,40.75496292
-73.97978973,40.78126526,-73.94087982,40.82322311
-73.98686218,40.7509613,-74.00537872,40.74002838
-73.96701813,40.75300598,-73.95162964,40.76935959
-73.97038269,40.76499176,-73.94966888,40.76845932
-74.00243378,40.7171669,-73.98596954,40.72674942
-74.00749969,40.74095154,-74.01664734,40.70491028
-73.99538422,40.7492981,-73.98932648,40.71814728
-73.98667908,40.72584915,-73.99746704,40.7351532
-73.98002625,40.76596832,-73.99120331,40.75035095
-73.95449829,40.76680756,-73.98778534,40.7208786
-74.00772858,40.74060822,-73.98351288,40.73720932
-74.00679779,40.73107147,-73.97496033,40.75846863
-73.98092651,40.75524139,-74.00455475,40.7296524
-73.86277771,40.76931381,-73.98612976,40.74858093
-73.98786926,40.76509857,-73.99360657,40.75894928
-73.95413208,40.77478409,-73.94741821,40.77963257
-73.9720993,40.78220749,-73.96451569,40.77754974
-73.97821045,40.77716064,-73.95762634,40.77454758
-73.98357391,40.73841858,-74.00548553,40.73955917
-73.98471069,40.76018143,-73.97956085,40.75270462
-73.98989105,40.74715805,-73.97494507,40.741745
-73.86347198,40.76981735,-73.87153625,40.76310349
-73.9758606,40.7572403,-74.17759705,40.69094849
-73.95665741,40.78076935,-73.96964264,40.80010223
-73.87300873,40.77412033,-73.97607422,40.74991226
-73.97163391,40.78196335,-73.98168945,40.77899551
-73.98435974,40.74898529,-73.99628448,40.71605682
-73.97097015,40.76412582,-73.96228027,40.77618027
-73.86691284,40.77187729,-73.79469299,40.7347908
-73.95521545,40.78024673,-73.86183167,40.76845551
-73.95274353,40.77225876,-73.97776794,40.73911285
-73.97257996,40.74890518,-73.96156311,40.76051712
-73.95526123,40.78024292,-73.96987152,40.7897644
-74.00283813,40.76036072,-73.98841095,40.77898026
-73.99006653,40.75193405,-73.98975372,40.72386932
-73.99008179,40.75673676,-73.95513153,40.67752457
-73.94952393,40.77661133,-73.94267273,40.78596878
-73.99514008,40.75,-73.99369812,40.73550034
-73.96012115,40.7819519,-73.9719696,40.75503922
-73.99752045,40.721241,-73.98800659,40.72082138
-73.99837494,40.72592545,-73.99031067,40.73112869
-73.97830963,40.73715973,-73.9732132,40.74394989
-73.96511078,40.77508926,-73.95236969,40.76646042
-73.99250031,40.74044418,-73.84011078,40.71951675
-74.00611877,40.7179184,-74.01350403,40.71568298
-73.95810699,40.74216843,-73.93170929,40.76806641
-73.78186035,40.64468384,-73.96192169,40.76703262
-73.9619751,40.76773453,-73.95858765,40.77301025
-73.99806213,40.6748085,-74.00444031,40.73265076
-73.95108795,40.71106339,-73.9389267,40.70738602
-73.98010254,40.75370407,-73.99331665,40.74161148
-73.98155975,40.7663269,-73.91159058,40.7638855
-73.99031067,40.71886444,-73.99554443,40.73687363
-73.97046661,40.79917526,-74.01721191,40.70519257
-74.002388,40.74955368,-73.9777832,40.75408173
-73.99090576,40.75627136,-73.97681427,40.75968933
-73.98690796,40.76160812,-74.00840759,40.71162033
-74.00817108,40.74500275,-73.95509338,40.80483627
-73.99488068,40.75021362,-73.96221924,40.71162033
-73.96318054,40.77423096,-73.95555115,40.77869034
-73.98484802,40.72433472,-73.88411713,40.71671677
-73.98181915,40.76896286,-73.98181915,40.76896286
-73.97602844,40.77612686,-73.94838715,40.77815628
-73.98379517,40.75070572,-73.97735596,40.76612091
-73.97346497,40.76087952,-73.96613312,40.76120377
-73.98133087,40.74726868,-74.00549316,40.7390213
-74.00452423,40.72419357,-74.00449371,40.7246666
-73.98253632,40.77566147,-73.9694519,40.80208969
-73.9677887,40.76269913,-73.98147583,40.74219131
-73.98706818,40.75663376,-73.96030426,40.78077316
-73.98609924,40.71948624,-73.945961,40.71143723
-74.00778198,40.74094391,-73.97117615,40.80080032
-73.98506927,40.73220444,-73.91049194,40.69681549
-73.98343658,40.73168182,-73.94800568,40.71416092
-73.99115753,40.74578094,-73.98339081,40.77146149
-73.98204041,40.75967789,-73.947052,40.77315903
-73.96120453,40.76055908,-73.94713593,40.77593231
-73.97058105,40.79904556,-73.98981476,40.76724625
-73.94978333,40.78056717,-73.96006775,40.77040863
-73.98743439,40.76013947,-73.99098206,40.7448616
-73.97445679,40.75692749,-73.96090698,40.78014374
-73.97541809,40.78707504,-73.94265747,40.82355118
-73.99404144,40.75113678,-73.9826355,40.76068878
-73.7901535,40.64661407,-73.98191833,40.75667953
-74.00669098,40.73764038,-74.00388336,40.73809052
-73.98802948,40.73781967,-73.97206879,40.74607849
-73.95252228,40.76626968,-73.98342896,40.73437881
-73.86378479,40.76974487,-73.94625854,40.78041458
-73.98693085,40.75093079,-73.97830963,40.75326157
-73.96263885,40.76822662,-73.95355988,40.77282333
-74.00012207,40.71784973,-74.01457977,40.70967484
-73.86968231,40.77254868,-73.91340637,40.6807785
-73.98683167,40.76182938,-73.97783661,40.79212189
-74.00392914,40.72579575,-73.99887848,40.7347641
-73.97971344,40.7605629,-73.99338531,40.73662949
-73.96151733,40.76602173,-73.94972229,40.78192902
-73.98127747,40.78036118,-73.97615051,40.78860092
-73.95606232,40.76415253,-73.9434433,40.79118347
-73.99198914,40.74379349,-73.97470093,40.76340103
-73.98872375,40.73697662,-73.98272705,40.75034332
-74.01730347,40.70536041,-73.97393036,40.76156616
-74.00398254,40.74847031,-73.99505615,40.74294281
-73.97864532,40.74093246,-74.01269531,40.70158768
-73.88404083,40.74760818,-73.90461731,40.74769974
-73.99036407,40.75624084,-73.9729538,40.75728989
-73.98666382,40.7216835,-73.97257233,40.68587875
-73.9590683,40.77566147,-73.9590683,40.77566147
-73.97598267,40.75774765,-73.98216248,40.74074936
-73.94769287,40.78329849,-73.96104431,40.75665283
-73.95478821,40.77796555,-73.94776917,40.77957916
-73.88523102,40.77294159,-73.94695282,40.77526093
-73.9899826,40.75159836,-73.99443054,40.74100113
-74.00437164,40.74234772,-74.01072693,40.72361755
-73.96108246,40.76911926,-73.95694733,40.78342056
-73.98027802,40.77019119,-73.96378326,40.77413177
-73.98213959,40.77532578,-74.00984955,40.72169876
-73.98937988,40.71982574,-73.98260498,40.75750351
-73.91998291,40.74357224,-73.92677307,40.75527573
-73.94529724,40.77434921,-73.95543671,40.77859879
-73.97192383,40.79190445,-73.96954346,40.76530075
-73.97866058,40.75630188,-73.98812866,40.73735046
-73.98583984,40.72690201,-74.0142746,40.70406723
-74.00772095,40.74300385,-73.98937988,40.7478447
-73.99458313,40.70299911,-74.0041275,40.71292877
-73.97935486,40.75619125,-73.97912598,40.74298096
-73.96953583,40.75521851,-73.97652435,40.74794769
-73.99720764,40.7240715,-74.00061798,40.73215485
-73.99040985,40.71879578,-73.98690796,40.75088882
-73.98714447,40.72949982,-73.96070862,40.79747009
-73.96218872,40.75913239,-73.96263123,40.77317429
-73.98549652,40.74745178,-73.97907257,40.72803879
-74.01647949,40.71540833,-74.01275635,40.70661163
-73.95519257,40.77999115,-73.95780182,40.77650833
-73.96116638,40.77783203,-73.96604156,40.76386642
-73.78621674,40.64528656,-73.99307251,40.7297287
-73.98535919,40.73841095,-73.87042236,40.77368164
-73.98139954,40.77879333,-73.97652435,40.78249741
-73.9890213,40.71891022,-73.99648285,40.72117996
-74.00102997,40.75665283,-74.00099945,40.75662613
-73.95511627,40.76900101,-73.97154236,40.78536987
-73.9839859,40.73787308,-74.00466919,40.70838928
-73.99572754,40.75408173,-73.9839325,40.74654388
-73.95237732,40.81076813,-73.97606659,40.78114319
-73.95397949,40.7638588,-73.99643707,40.71551132
-73.93982697,40.69956207,-73.93199921,40.68913269
-73.97908783,40.7594986,-73.97956085,40.72433472
-73.96575165,40.75957489,-73.97911835,40.76510239
-73.93280792,40.75893021,-73.9832077,40.76700974
-73.96572876,40.76873016,-73.95587921,40.67308044
-73.98088074,40.78433609,-73.95667267,40.78061676
-73.92628479,40.70328522,-73.9380188,40.70040894
-73.97648621,40.75498962,-73.99115753,40.75128174
-73.98630524,40.77702332,-73.9858551,40.77679062
-74.00413513,40.7428093,-73.98779297,40.74486542
-73.98253632,40.77508163,-73.97176361,40.78459549
-73.95469666,40.77397919,-73.96845245,40.76150894
-73.99150085,40.74489212,-73.98327637,40.76048279
-74.00970459,40.73965454,-73.99959564,40.72883606
-73.98819733,40.76428986,-73.87281036,40.77445602
-73.99656677,40.73197556,-73.97901154,40.74990082
-73.96713257,40.79346466,-73.97039032,40.79574966
-73.99024963,40.75728607,-73.96398163,40.75691986
-73.99453735,40.76602554,-73.98638153,40.74906158
-73.97790527,40.75487137,-73.95277405,40.76816559
-73.96751404,40.76615524,-73.96052551,40.77144241
-73.95294189,40.81018829,-73.94551086,40.77811813
-73.86365509,40.7696228,-73.91322327,40.87279892
-73.94435883,40.80830765,-74.01231384,40.70384598
-73.99220276,40.74496841,-73.98139191,40.7469902
-73.7818985,40.64477158,-73.98589325,40.76015854
-73.96807861,40.75937653,-73.98486328,40.76865005
-74.00447845,40.72269058,-73.87107086,40.77425003
-73.983284,40.77374268,-73.98738098,40.78037262
-73.98287201,40.74498749,-73.98928833,40.74467468
-73.96679688,40.76700974,-73.98178864,40.75228882
-73.98274994,40.75415421,-74.01538849,40.71124649
-73.9825592,40.74235153,-73.99250031,40.7252655
-73.95459747,40.76961899,-73.94959259,40.77706909
-73.99554443,40.74401093,-73.98324585,40.76367188
-73.9544754,40.78369522,-73.96351624,40.77006531
-74.00865936,40.71960831,-73.99893951,40.72792053
-74.00125122,40.73632431,-74.00869751,40.7069664
-73.98838806,40.72002411,-73.99253082,40.65903854
-73.97554016,40.73563004,-73.9629364,40.71200943
-73.98038483,40.76564407,-73.99131775,40.77445221
-73.78242493,40.64428711,-73.85658264,40.72550201
-74.00067139,40.75825882,-73.99461365,40.75053024
-73.96194458,40.76454163,-73.96845245,40.7630806
-74.0010376,40.74151993,-73.98032379,40.76044846
-73.95288086,40.76646805,-73.97863007,40.76192093
-73.96812439,40.80043793,-73.865242,40.77065277
-73.98117828,40.72090149,-73.97738647,40.72608566
-74.00583649,40.74547577,-73.99402618,40.72840118
-73.95941162,40.77422714,-73.95346832,40.77942276
-73.87073517,40.77365875,-73.85991669,40.82909012
-73.97827148,40.74565506,-73.96525574,40.75829315
-73.97371674,40.79469681,-73.9744339,40.78911972
-74.01300049,40.70243835,-74.01428986,40.71250153
-73.99181366,40.74377823,-73.97116089,40.79272842
-73.97419739,40.75749588,-73.95983887,40.77548981
-73.94715118,40.7761879,-73.97302246,40.75549316
-73.88522339,40.77272797,-73.98058319,40.7816658
-73.99411774,40.75108337,-73.97214508,40.76348114
-74.00403595,40.74197388,-73.97395325,40.76431274
-74.00796509,40.71509933,-73.95983887,40.77038193
-73.98228455,40.77881241,-73.96128845,40.79861832
-73.97268677,40.75586319,-73.97733307,40.75867462
-73.96188354,40.75629044,-73.96802521,40.75571442
-73.99230194,40.75033569,-73.96540833,40.76888657
-73.95488739,40.77329636,-73.96908569,40.80277634
-74.01016235,40.71992111,-73.97490692,40.75691986
-74.00744629,40.73351288,-74.0036087,40.75641251
-73.97587585,40.76089478,-73.97186279,40.75015259
-73.97346497,40.78455353,-73.91751862,40.77385712
-73.86284637,40.76906586,-73.96763611,40.75602341
-73.99922943,40.72288132,-73.98287964,40.77829742
-73.97603607,40.77617264,-73.9592514,40.75918961
-73.97712708,40.75587845,-73.93854523,40.8098526
-73.77718353,40.64649963,-73.98500061,40.76091766
-73.98999786,40.71976089,-73.94625854,40.77296066
-73.98796844,40.72822571,-73.97849274,40.76476669
-73.9644928,40.76395035,-73.96803284,40.76535034
-73.80848694,40.68733597,-73.80848694,40.68733597
-73.98230743,40.77503967,-73.95617676,40.76374435
-73.95230103,40.78390884,-73.96085358,40.76081848
-73.9543457,40.78692245,-73.9586792,40.77839661
-73.99500275,40.73991776,-73.95629883,40.74758148
-73.96964264,40.67788315,-73.99126434,40.67770386
-73.95650482,40.77127838,-73.98560333,40.73989105
-73.99500275,40.74002457,-73.98708344,40.76196671
-73.78223419,40.64457321,-73.80843353,40.73604584
-74.00337219,40.74882889,-73.96310425,40.7758255
-73.99171448,40.76471329,-73.98004913,40.78363037
-73.978508,40.75500107,-73.98771667,40.75279999
-73.95307159,40.78277588,-73.94633484,40.77882004
-74.01007843,40.72095108,-73.9779892,40.73429108
-73.95375061,40.78520584,-73.96418762,40.77555847
-74.01663971,40.70985794,-73.7857132,40.71222687
-74.0014267,40.73100662,-73.93762207,40.69807434
-73.97518921,40.76507187,-73.97019196,40.7660408
-73.97869873,40.75521088,-73.98822784,40.74272919
-74.00363922,40.71361923,-73.97933197,40.78363037
-74.00437164,40.74218369,-73.97547913,40.76042557
-73.9916153,40.75976181,-73.97422791,40.74317551
-73.99054718,40.74586105,-74.00157166,40.73099136
-73.99115753,40.73408127,-74.00498962,40.72969055
-73.984375,40.76968765,-73.95407104,40.76402664
-73.99774933,40.75664902,-73.99302673,40.74713898
-74.00003815,40.73486328,-74.00751495,40.73314285
-73.98445129,40.72496796,-73.99853516,40.73400879
-73.99316406,40.75769424,-73.98908997,40.76943588
-73.98284912,40.74462891,-73.9849472,40.75933075
-73.962677,40.77566147,-73.95944214,40.7802887
-73.95992279,40.75851059,-73.99179077,40.74412155
-73.96921539,40.75409317,-73.9736557,40.73783875
-73.96795654,40.76874161,-73.96295929,40.77825928
-73.98554993,40.74716568,-73.98806,40.75957489
-73.98438263,40.77012634,-73.97027588,40.75772095
-74.00884247,40.71366119,-74.00042725,40.72361755
-73.99136353,40.74993134,-73.9728241,40.75866318
-73.99491119,40.72544861,-73.96427155,40.71274185
-73.9991684,40.7496109,-73.98609161,40.77261353
-73.98897552,40.75920486,-73.97399139,40.7605896
-73.96211243,40.77610016,-73.96852112,40.76440811
-73.96924591,40.76689911,-73.94271851,40.79981232
-73.9994812,40.7232666,-74.00728607,40.73815155
-73.99477386,40.75497055,-73.99646759,40.7452774
-73.96897888,40.75785065,-73.97348022,40.76250076
-74.00714874,40.71303177,-73.98342896,40.7662735
-73.98069763,40.72994614,-74.00946045,40.71518326
-73.97879791,40.76673126,-73.96166992,40.75780106
-73.99128723,40.72370911,-73.98789215,40.73445129
-73.98249054,40.76256943,-73.99862671,40.76060867
-73.98191071,40.76688004,-73.98259735,40.77717972
-73.97515869,40.75918198,-74.00526428,40.70737076
-73.98612976,40.75971985,-74.00148773,40.73606491
-74.00539398,40.74081039,-73.95063019,40.82103729
-73.99237061,40.7375145,-73.87084198,40.77407837
-73.98001862,40.78601837,-73.97633362,40.75906754
